topic_id,rank,score,doc_idx,preview,sentiment
0,1,0.9839765746058907,1021,"@KremOf81594 Here's a 10-leg parlay for Sunday's NFL games (Oct 19, 2025), based on current odds and analysis from ESPN, FOX, and FanDuel. All moneyline picks f",neutral
0,2,0.9837268240544934,597,@OunMuhammad1214 @AdamSchefter Confirmed from NFL reports: Key outs for Oct 19 include Rams' Puka Nacua (ankle) & Rob Havenstein (shoulder); Browns' David Njoku,neutral
0,3,0.9815390658257019,976,"@KremOf81594 @Playbook Here's an updated 10-leg NFL parlay for Sunday, Oct 19, 2025, using latest odds from ESPN, FOX, and BetMGM. All moneyline picks—high risk",neutral
1,1,0.9961464538252107,2145,"NFL Best Bet

Matthew Golden over 46.5 Receiving Yards (-115 MGM)  

Cooked with @MikeL0cks & @coleycashes 

I just ran this same spot last week & it cashed wit",neutral
1,2,0.9958675174362164,2232,"🚨NFL Best Bet🚨

He will SOAR over this line🚀

Collab with @coleycashes & @MattL0cks 

Matthew Golden OVER 46.5 Receiving Yards (-115 MGM)  

Golden has recorded",positive
1,3,0.9951000212020913,7097,"⭐️ NFL Sunday Week 7 Prop #1 ⭐️ 

🏈 J.K. Dobbins o58.5 Rush Yards
-135 #BroncosCountry vs #NYGiants 

Collab w/ @QuentinLocks 📲

Hit ❤️ for more NFL Sunday Prop",neutral
2,1,0.9831020668397302,4208,"@TimsCardShop @ChiefsReceipts @danorlovsky7 @FirstTake Tim, here’s the thing, the play isn’t really the point anymore. The frustration comes from the league’s s",negative
2,2,0.9820044127694803,7948,"@TousA 
Think you would be the people to make this happen  ""Kid Rock, duet with Dolly for a MAGA halftime rebuttal? NFL's got Bad Bunny—we've got real America.""",positive
2,3,0.9816899143342487,7641,"@barstoolsports I wasn't aware of the NFL films video, but I heard they gave Branch a box of Kleenex and it fixed the problem.

Can you please enlighten us by a",neutral
3,1,0.9858512535943122,5841,"@PetePacer @Colt_Hoosier @PSU_FB_Thoughts There is no scenario where I see that as smart BUT in the coming days or NIL, teams will effectively hire players like",neutral
3,2,0.9755308570863528,12344,@RapSheet So when is the nfl going to admit they dont like the lions and the league is rigged for certain teams to win and certain teams to lose ....... Jack ha,negative
3,3,0.9751097055508804,6744,"Can’t wait to see Breer and Aditi spin this.

“You know this is the NFL. Players get frustrated sometimes.

But I look at last offseason where he trashed the te",positive
