Subject,Dataset,Tweet ID,URL,Content,Author ID,Author Username,Author Blue Verified (T/F),Followers,Author Location,Likes,Views,Date,Original User Sentiment
Keir Starmer (UK PM),codomain,1967326920900829649,https://x.com/angela_sarco/status/1967326920900829649,say somthing,468909680,angela_sarco,False,45,,0,925,"September 14, 2025 at 08:37 PM",Positive
Keir Starmer (UK PM),codomain,1975989114592952379,https://x.com/arthelow1/status/1975989114592952379,RT @elonmusk: Protesting attempted rape is punished more than attempted rape in Britain …,818721227388882944,arthelow1,False,2269,Hertfordshire ,297361,26092080,"October 8, 2025 at 06:18 PM",Positive
Keir Starmer (UK PM),codomain,1961427513730547914,https://x.com/JR137777/status/1961427513730547914,Traitors,1865852652418146304,JR137777,False,87,,0,8,"August 29, 2025 at 01:55 PM",Positive
Keir Starmer (UK PM),codomain,1974726198216593417,https://x.com/sarpnch1979/status/1974726198216593417,"RT @mrvickypoonia: 🚨सनातनी प्रमोशन🚨

हर शाम 7 बजे 

200 फॉलोवर्स इंस्ट्रक्शन फॉलो करने से बढ़ते

1 Rt करके अपनी 🆔 Reply में मेंशन करे
2 Rt…",2972544247,sarpnch1979,False,723,Sangaria,14,449,"October 5, 2025 at 06:39 AM",Positive
Keir Starmer (UK PM),codomain,1532101087376789504,https://x.com/F16CFalconUSA/status/1532101087376789504,😂,948258971143385088,F16CFalconUSA,False,1316,🌎 ,34,0,"June 1, 2022 at 08:45 PM",Positive
Keir Starmer (UK PM),codomain,1562045518263382016,https://x.com/F16CFalconUSA/status/1562045518263382016,😂🤣,948258971143385088,F16CFalconUSA,False,1316,🌎 ,1,0,"August 23, 2022 at 11:54 AM",Positive
Keir Starmer (UK PM),codomain,1955536194370146756,https://x.com/RajChand2211/status/1955536194370146756,#VoteChori,3180727399,RajChand2211,True,151,"Mumbai, India",1,17,"August 13, 2025 at 07:45 AM",Positive
Keir Starmer (UK PM),codomain,1975471335745655294,https://x.com/nedugabs/status/1975471335745655294,"My appeal is simple: governance must always balance law with compassion. A government should not pride itself on being legally correct if, in the process, it becomes morally wrong. Justice, to be just, must be tempered with mercy.  These demolitions are a test of our collective humanity, justice, and compassion. Power must always be exercised with empathy  -  for it is in how we treat the vulnerable that the true character of leadership is revealed.  A new Nigeria is POssible. -PO",843185208270688257,nedugabs,True,3367,"Lagos, Nigeria",0,50,"October 7, 2025 at 08:00 AM",Positive
Keir Starmer (UK PM),codomain,1970229882530549975,https://x.com/pompeyray28/status/1970229882530549975,#StarmerOut,87407335,pompeyray28,False,1641,,52,1109,"September 22, 2025 at 08:53 PM",Positive
Keir Starmer (UK PM),codomain,1967549548492214427,https://x.com/pompeyray28/status/1967549548492214427,#StarmerOut,87407335,pompeyray28,False,1641,,20,1115,"September 15, 2025 at 11:22 AM",Positive
Keir Starmer (UK PM),codomain,1827258996312400142,https://x.com/melisafredes/status/1827258996312400142,Award-winning analyst. Devoted troublemaker. Passionate bacon geek. Typical coffee enthusiast. Total music fanatic.,257030806,melisafredes,False,10,,0,8,"August 24, 2024 at 08:17 AM",Positive
Keir Starmer (UK PM),codomain,1825289752163303865,https://x.com/melisafredes/status/1825289752163303865,"Coral reefs protect coastlines, provide habitats for marine life, and support fisheries, contributing to the livelihoods of millions.",257030806,melisafredes,False,10,,0,6,"August 18, 2024 at 09:52 PM",Positive
Keir Starmer (UK PM),codomain,1976267650633433491,https://x.com/bbww99/status/1976267650633433491,RT @elonmusk: Protesting attempted rape is punished more than attempted rape in Britain …,101443673,bbww99,False,78,uk,297409,26094739,"October 9, 2025 at 12:44 PM",Positive
Keir Starmer (UK PM),codomain,1972392129793269930,https://x.com/DelhiCameraman/status/1972392129793269930,"RT @sudhirchaudhary: BREAKING : Indian team has refused to accept Asia Cup trophy from Pakistan minister and ACC chief Mohsin Naqvi
#AsiaCu…",946965667323846656,DelhiCameraman,False,3,"North West Delhi, India",10112,176385,"September 28, 2025 at 08:05 PM",Positive
Keir Starmer (UK PM),codomain,1972385421851230655,https://x.com/DelhiCameraman/status/1972385421851230655,"RT @narendramodi: #OperationSindoor on the games field. 

Outcome is the same - India wins!

Congrats to our cricketers.",946965667323846656,DelhiCameraman,False,3,"North West Delhi, India",526050,43265685,"September 28, 2025 at 07:38 PM",Positive
Keir Starmer (UK PM),codomain,1974961051046425076,https://x.com/romfordgeeza/status/1974961051046425076,🤔,393221287,romfordgeeza,False,2954,Romford,0,68,"October 5, 2025 at 10:13 PM",Positive
Keir Starmer (UK PM),codomain,1881258639887151472,https://x.com/DaveWhitehous10/status/1881258639887151472,Brilliant,3399058492,DaveWhitehous10,False,1784,,1,186,"January 20, 2025 at 08:33 AM",Positive
Keir Starmer (UK PM),codomain,1881371191291850770,https://x.com/DaveWhitehous10/status/1881371191291850770,Brilliant,3399058492,DaveWhitehous10,False,1784,,0,129,"January 20, 2025 at 04:00 PM",Positive
Keir Starmer (UK PM),codomain,1890429313700270503,https://x.com/DaveWhitehous10/status/1890429313700270503,lol,3399058492,DaveWhitehous10,False,1784,,1,135,"February 14, 2025 at 03:54 PM",Positive
Keir Starmer (UK PM),codomain,1962039130323365899,https://x.com/DaveWhitehous10/status/1962039130323365899,Brilliant,3399058492,DaveWhitehous10,False,1784,,0,148,"August 31, 2025 at 06:25 AM",Positive
Keir Starmer (UK PM),codomain,1976255180132974660,https://x.com/jedigardener/status/1976255180132974660,"RT @BritishLandeur: People are upset that Robert Jenrick said he didn't see a single White face in Handsworth, and that it was a slum. 

We…",294727575,jedigardener,False,1700,,17766,451602,"October 9, 2025 at 11:55 AM",Positive
Keir Starmer (UK PM),codomain,1976014688560513042,https://x.com/jedigardener/status/1976014688560513042,"RT @PeterSweden7: Britain now has the most number of r*pes in Europe.

Sweden has the second most number of r*pes in Europe.

What went wro…",294727575,jedigardener,False,1700,,56852,1279190,"October 8, 2025 at 07:59 PM",Positive
Keir Starmer (UK PM),codomain,1976301633416900991,https://x.com/jeffries_p46145/status/1976301633416900991,RT @juneslater17: Calling Farage and Reform the enemy was probably the biggest verbal mistake of his unpopular administration,1840153598052749313,jeffries_p46145,True,6487,ISLE OF WIGHT England,1488,40319,"October 9, 2025 at 03:00 PM",Positive
Keir Starmer (UK PM),codomain,1976321393714225305,https://x.com/rohisush/status/1976321393714225305,"RT @narendramodi: India-UK friendship is on the move and is filled with great vigour! 

A picture from earlier today, when my friend PM Sta…",2717152422,rohisush,True,5986,Bharat ,30399,622080,"October 9, 2025 at 04:18 PM",Positive
Keir Starmer (UK PM),codomain,1976321138381955416,https://x.com/rohisush/status/1976321138381955416,RT @narendramodi: India has always supported the creation of a global framework for Ethical AI. https://t.co/MqMbPGncAp,2717152422,rohisush,True,5986,Bharat ,7278,220228,"October 9, 2025 at 04:17 PM",Positive
Keir Starmer (UK PM),codomain,1976321122531701217,https://x.com/rohisush/status/1976321122531701217,"RT @narendramodi: We are not only sharing technology with other nations but also helping them develop it. This is not Digital Aid, it is Di…",2717152422,rohisush,True,5986,Bharat ,5324,146403,"October 9, 2025 at 04:17 PM",Positive
Keir Starmer (UK PM),codomain,1976320966314819774,https://x.com/rohisush/status/1976320966314819774,RT @narendramodi: Glad to have taken part in the Global Fintech Fest 2025 in Mumbai with PM Keir Starmer. Platforms like this highlight our…,2717152422,rohisush,True,5986,Bharat ,17399,450821,"October 9, 2025 at 04:16 PM",Positive
Keir Starmer (UK PM),codomain,1976321354397110600,https://x.com/LorrettaWetmor2/status/1976321354397110600,RT @narendramodi: Welcome Prime Minister Keir Starmer on your historic first visit to India with the largest ever trade delegation from the…,1633830368536297473,LorrettaWetmor2,False,28,,118367,8828332,"October 9, 2025 at 04:18 PM",Positive
Keir Starmer (UK PM),codomain,1976265746498875413,https://x.com/RobertJ95156615/status/1976265746498875413,"RT @wideawake_media: Former Bank of England deputy Jon Cunliffe compares ""Britcoin""—the UK's incoming CBDC—to ""giving your children pocket…",1196431602873753600,RobertJ95156615,False,1220,,1975,72242,"October 9, 2025 at 12:37 PM",Positive
Keir Starmer (UK PM),codomain,1976325469881741704,https://x.com/RobertJ95156615/status/1976325469881741704,"RT @Artemisfornow: Remember the dancing nurses videos? How broken they all were, how exhausted?

Remember we told you it was bollocks? Well…",1196431602873753600,RobertJ95156615,False,1220,,1241,16680,"October 9, 2025 at 04:34 PM",Positive
Keir Starmer (UK PM),codomain,1976322868339458469,https://x.com/RobertJ95156615/status/1976322868339458469,"RT @SaulStaniforth: The regulator Ofwat has ruled that 5 private water companies can raise bills by even more than previously agreed

A rem…",1196431602873753600,RobertJ95156615,False,1220,,2031,89324,"October 9, 2025 at 04:24 PM",Positive
Keir Starmer (UK PM),codomain,1976321863509999755,https://x.com/RobertJ95156615/status/1976321863509999755,"RT @Basil_TGMD: Muslims in Britain say if you put up a Union Jack 🇬🇧 in an 'immigrant area' you'll be beaten up and attacked

Mass deportat…",1196431602873753600,RobertJ95156615,False,1220,,6334,85791,"October 9, 2025 at 04:20 PM",Positive
Keir Starmer (UK PM),codomain,1976045580825788622,https://x.com/RobertJ95156615/status/1976045580825788622,"RT @GBNEWS: 'I will not be having digital ID put me in prison. Not a problem. I will not be having digital ID and I really mean it!'

@Nige…",1196431602873753600,RobertJ95156615,False,1220,,15840,430983,"October 8, 2025 at 10:02 PM",Positive
Keir Starmer (UK PM),codomain,1975539323480252659,https://x.com/taxonomics_1603/status/1975539323480252659,"🌾 Empowering 2 crore farmers!

The new ₹11,440 Cr Pulses Mission ensures 100% assured procurement of tur, urad & masur for 4 years.

From rice fallows to food bowls — India’s turning self-reliance into farmer prosperity. 🇮🇳

#FarmersFirst #PulsesMission #Agriculture #RuralDevelopment #AtmanirbharBharat",633927131,taxonomics_1603,True,28,,0,11,"October 7, 2025 at 12:30 PM",Positive
Keir Starmer (UK PM),codomain,1976198551450632249,https://x.com/Pickled_Fairy/status/1976198551450632249,"RT @JuliaHB1: So if this Trump peace plan does go ahead and Hamas frees the hostages while Israel ends the bombing, withdraws the IDF to ag…",2258696321,Pickled_Fairy,False,787,,17407,429219,"October 9, 2025 at 08:10 AM",Positive
Keir Starmer (UK PM),codomain,1976023254063042822,https://x.com/Pickled_Fairy/status/1976023254063042822,RT @elonmusk: Protesting attempted rape is punished more than attempted rape in Britain …,2258696321,Pickled_Fairy,False,787,,297450,26097395,"October 8, 2025 at 08:33 PM",Positive
Keir Starmer (UK PM),codomain,1975495578038804641,https://x.com/Pickled_Fairy/status/1975495578038804641,"RT @RobertJenrick: I have uncovered over 30 immigration judges with links to open borders charities. 

It is now beyond any doubt that a de…",2258696321,Pickled_Fairy,False,787,,81150,2226191,"October 7, 2025 at 09:37 AM",Positive
