topic_id,rank,score,doc_idx,preview,sentiment
0,1,0.9912755790537566,5800,"it’s time to bring in the national guard

And maybe the Marines

I’ve been saying for two years

Democrats will not be happy until we have a 10/7 event in the U",negative
0,2,0.9886063463860978,5802,"Great commentary!

NOW LET’S TALK ABOUT THE DEMOCRAT PARTY AND THE SPLC

KNOWING SINCE THE DAYS OF TONY LA RAZA VILARIAGOSA

When they interviewed vicious south",neutral
0,3,0.9874259170650144,5819,"I know Democrats don’t care

I hope this will inspire more conservative Californians to become more outspoken, more active

Do you recognize that that liberal m",neutral
1,1,0.9939681549990181,4311,"The JOY in Autism. Here’s a little inside look at the absolute wonder of being a mom to the sweetest humans imaginable! 

Today is Dinkle’s birthday. Do you kno",positive
1,2,0.98979997445324,4290,"Welcome to the dark side! 

Sometimes, the only way out is through. Life has been pure chaos and after the last two years, I felt like something needed to be in",neutral
1,3,0.9884922493885137,4291,"In a funk? Break away from it by a quick project that checks something off your list! What’s one of your funk-breaking tips??

ADHD is a part of me- I don’t see",neutral
2,1,0.9741147625611866,1080,"$BTBT NOW 39% SINCE MY BUY SIGNAL 🚀🚀🚀
 3.37% yield on 99,936 ETH staked generates 291 ETH rewards. This income stream powers growth, with resistance at 4.10 USD",positive
2,2,0.9721443915318332,1079,"$CLSK NOW 34% SINCE MY BUY SIGNAL 🚀🚀🚀
$CLSK’s $100M credit boost adds firepower to its $400M total. This flexibility fuels growth, with resistance at 25.00 USD ",positive
2,3,0.9717811014168244,1102,"$ETHZ NOW 60 PERCENT SINCE MY BUY SIGNAL 🚀🚀🚀

With 47 million dollars already deployed and 150 million more planned, ETHZilla is positioning itself as a key pla",positive
3,1,0.9905569146383715,1925,"Dan Ives Says Q3 Tech Earnings Will 'Exceed The AI Hype,' Expert Adds Tariff Impact On Other Firms Will Be 'Much Less Than Anticipated'

https://t.co/n27wofkhHh",neutral
3,2,0.9895861013221758,1932,"TSMC posts forecast-beating Q3 revenue surge on AI boom

https://t.co/v3DFxnnFIE

$TSM, the world's largest contract chipmaker, reported a 30% year-on-year incr",positive
3,3,0.9879702913865424,1930,"Elon Musk's Tesla Robot Masters Kung Fu Without Human Control — Jim Cramer Says Nvidia Tech Made It Possible

https://t.co/5fCuiybX0Q

$TSLA CEO Elon Musk showc",positive
