Tweet ID,Author Username,Original User Sentiment,include_match_count,exclude_match_count,topic_relevance_score,domain_similarity,include_terms_matched,exclude_terms_matched,Content
1.9763099829593992e+18,QuinnChasan,Negative,1,0,1,0.06373835935546526,['costco'],[],"Counterpoint: as chips go the way of COSTCO level cutthroat underpricing it will unlock more and more businesses who can't afford hundreds of thousands a month on cloud bills 

The race to the bottom on price and cost is a clear-eyed bet these companies are making"
1.9763036821666204e+18,onlywon_tiffa,Negative,1,0,1,0.09984122060290945,['costco'],[],I know this man @ Costco tired of me asking him to use his Costco card so I can get gas😂
1.9762993201786184e+18,S44_Toffee,Positive,1,0,1,0.06432019180610817,['costco'],[],"Went to Costco in Derby today and ran into this legend 

Honestly a genuinely lovely guy, very warm welcoming personality. I can confirm he’s asked me to join in this years Xmas number 1 where we are going to sing about sausage rolls and flags on lamp posts 😂😂😂😂 https://t.co/bUXUhmLOwt"
1.97629803350451e+18,MsFemi,Negative,1,0,1,0.08645628230078416,['costco'],[],I haven’t gone to Costco in like 3 months! Coming from someone that treats Costco like it’s DisneyLand😞😞
1.9762975186075156e+18,AZNikki70s,Negative,2,0,2,0.06270093983897664,"['costco', 'costco membership']",[],https://t.co/FzYAvTfo9w. I hope they pulled her Costco membership.
1.976295101069656e+18,sweatsXstew,Positive,1,0,1,0.10152096031722718,['costco'],[],Yes I have a Sam’s club card too but I moved close to a Costco so now I’m like should I try them out?! I hear good things
1.9762883103738964e+18,CVTSoftServe,Positive,1,0,1,0.10106806324692369,['costco'],[],"Good Morning Idaho 😊 In case you missed it, the next stop on our Costco Roadshow tour starts today at 2051 S. Cole Road in Boise...we're here all day everyday until Sunday night!

What’s a Roadshow? Glad you asked...

""It’s a temporary, in-store event at select Costco locations where brands can showcase and sell their products directly to members through pop-ups, demos, and samples""

It's basically a way to prove to the powers that be whether or not we’re a viable brand to eventually earn a permanent spot on @costco shelves.

Tell your family. Tell your friends. Come buy our ice cream and help us impress the suits...k, love you bye!"
1.9762815375084096e+18,pieroj2,Negative,1,0,1,0.058092579688090076,['costco'],[],What about this “new rules” in @Costco Miami regular membership is not allowed until 10 am… this is discrimination forcing to upgrade the memership to the most expensive one to be welcome at anytime cashiers are always stalking clients with this “OFFERS” @Telemundo @UniNoticias
1.9762811994347397e+18,TastingTable,Positive,1,0,1,0.0538517395487246,['costco'],[],"It's officially fall at your local Costco warehouse, which means you have a selection of new seasonal items to add to your next shopping list.
https://t.co/6m0Mwo4AcL"
1.976277760537686e+18,humberwire,Negative,1,0,1,0.06368532481882588,['costco'],[],"GPlay Review-Lorex[1-Star]: {Veener- June 11, 2025- I bought the 8 camera NVR system from Costco 3 years ago and ever since I hardly ever see all 8 cameras online. Even though the sensor light...ll NEVER buy Lorex again.}👎(Conclusion=&gt;Lorex Sucks Rated)#2556765 https://t.co/wKfXJi98Hf"
1.9762627827830377e+18,humberwire,Negative,1,0,1,0.05339552221101164,['costco'],[],"Avoid Lorex Product(Lorex): {Veener- June 11, 2025- I bought the 8 camera NVR system from Costco 3 years ago and ever since I hardly ever see all 8 cameras online. Even though the sensor ligh...VER buy Lorex again.}👎(in a shell=&gt;Terrible Chinese Lorex)#2555608 https://t.co/ucMTOu9lM4"
1.9762578052511788e+18,popular_tyrant,Positive,1,0,1,0.08984299137020835,['costco'],[],"About to walk into Costco like ‘2 morning hot dogs, my good man’"
