Tweet ID,Author Username,Original User Sentiment,include_match_count,exclude_match_count,topic_relevance_score,include_terms_matched,exclude_terms_matched,Content
1.9763092360626424e+18,readersdigest,Positive,0,0,0,[],[],"Here's a prescription for doctor jokes, hospital humor, medical puns and more to cure your laughter deficiency. https://t.co/HifNH2kVO0"
1.9763004059834412e+18,hawkblogger,Positive,1,0,1,['costco'],[],"RT @hawkblogger: The only Seahawks podcast where you will hear @Costco talk, see nose-picking instant replay, and get occasional discussion…"
1.976299136879346e+18,YunSean1234,Negative,0,1,-1,[],['stocks'],WOW!!!:) AS I'VE WARNED OF THE BIGGEST EVER NEVER EVER BUBBLES OF STOCKS BONDS CRYPTOS REAL ESTATE NOW THOSE ARE POPPING NOW!!:) INDEED T$$$$$$$$$$$$$$$$$$$$$$-BUBBLES ARE EXPLDOING NOW!!:) WOW!!!:) THIS IS CRAZY!!!:) NOTHING BUT INSANITY!!!:) IT'S THE BIGGEST EVER GOLD TIME!!!:) https://t.co/uCMFNZKlFc
1.9762961787790623e+18,YunSean1234,Negative,0,0,0,[],[],WOW!!!!:) AS I'VE SAID THAT NOW YEN IS GETTING BACK TO +160 LEVEL DRIVEN BY THE EXPLODING T¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥-SOVEREIGN DEBT ARMAGEDDON!!!:) WOW!!:) INDEED IT'S TOOOOOOOOOOOO LATE TO FIX THE DEBT ARMAGEDDON!!!:) AND MORE+MORE=THE MMT CRISIS!!:) WOW!!:) IT'S GOLD TIME!!!!:) https://t.co/x2OY7LHJoS
1.9762943525038367e+18,YunSean1234,Negative,0,0,0,[],[],RT @YunSean1234: WOW!!!! WE ARE SEEING IN ANYWAY MATHEMATICALLY YEN IS GOING BACK TO +160 RANGE AGAIN DRIVEN BY THE EXPLODING T¥¥¥¥¥¥¥¥¥¥¥¥…
1.976294327589753e+18,YunSean1234,Negative,0,0,0,[],[],RT @YunSean1234: +10000%% FACT IS THAT SOVEREIGN DEBT ARMAGEDDON HAS ARRIVED ALREADY!!!!!:) DO THE MATH!!!!:) JAPAN GOVERNMENT HAS NO CHOIC…
1.9762883103738964e+18,CVTSoftServe,Positive,1,0,1,['costco'],[],"Good Morning Idaho 😊 In case you missed it, the next stop on our Costco Roadshow tour starts today at 2051 S. Cole Road in Boise...we're here all day everyday until Sunday night!

What’s a Roadshow? Glad you asked...

""It’s a temporary, in-store event at select Costco locations where brands can showcase and sell their products directly to members through pop-ups, demos, and samples""

It's basically a way to prove to the powers that be whether or not we’re a viable brand to eventually earn a permanent spot on @costco shelves.

Tell your family. Tell your friends. Come buy our ice cream and help us impress the suits...k, love you bye!"
1.9762871946218048e+18,CVTSoftServe,Positive,0,0,0,[],[],We are off the streets today for private events. But don't worry you can still get your fix at https://t.co/d5tqvw1Gsh https://t.co/udF5NLiJwX
1.9762810256733348e+18,YunSean1234,Negative,0,0,0,[],[],DO THE MATH!!:) AS I'VE SAID THAT DRIVEN BY SOVEREIGN DEBT ARMAGEDDON NOW GOLD PRICE HAS NO OTHER OPTIONS BUT TO HIT +5K$ RANGE ANYWAY INDEED IT IS GOING ON+ON+ON MUCH MUCH MUCH FASTER THAN EVEN MY CONSERVATIVE MATH THAT HAS INDICATED IT BEFORE END OF 1ST Q OF 2026YR!!:) WOW!!!:) https://t.co/AQVnPvlLkE
1.9762778255788111e+18,humberwire,Negative,0,0,0,[],[],"Poor Lorex in GPlayReview:  {Gishan G- July 23, 2025- App keeps crashing, does not load more than 80% of the time. worked better on previous devices but not on S25. disappointing.}👎(In Sum=&gt;Vicious-Chinese-LorexCorporate)#2236766 https://t.co/u1ptl2Tuds"
1.976277760537686e+18,humberwire,Negative,1,0,1,['costco'],[],"GPlay Review-Lorex[1-Star]: {Veener- June 11, 2025- I bought the 8 camera NVR system from Costco 3 years ago and ever since I hardly ever see all 8 cameras online. Even though the sensor light...ll NEVER buy Lorex again.}👎(Conclusion=&gt;Lorex Sucks Rated)#2556765 https://t.co/wKfXJi98Hf"
1.9762776930010524e+18,humberwire,Negative,0,0,0,[],[],"Avoid Lorex Camera-GPlay: {Carina Bown- September 30, 2025- This app has always been unreliable, constantly not working in playback mode. Well now, I can't even get live footage to play. For ...ough to fix the issues.}👎(Conclusion=&gt;Sucks Lorex Chinese)#2556764 https://t.co/pLaoOHhP0q"
