rob_label,term,count
negative,not,1340
negative,starmer,964
negative,keir,797
negative,no,760
negative,uk,736
negative,fan,736
negative,get,664
negative,ban,630
negative,go,594
negative,football,553
negative,police,460
negative,know,452
negative,jew,442
negative,muslim,435
negative,israel,433
negative,want,404
negative,british,402
negative,stop,380
negative,need,379
negative,israeli,377
neutral,starmer,460
neutral,not,419
neutral,keir,391
neutral,uk,215
neutral,go,171
neutral,fan,165
neutral,get,163
neutral,no,161
neutral,know,156
neutral,right,126
neutral,would,121
neutral,jewish,117
neutral,ban,117
neutral,police,113
neutral,muslim,112
neutral,build,108
neutral,need,106
neutral,without,104
neutral,birmingham,95
neutral,one,92
positive,keir,51
positive,starmer,51
positive,great,41
positive,good,41
positive,love,37
positive,go,36
positive,uk,34
positive,get,34
positive,well,31
positive,make,25
positive,one,24
positive,right,24
positive,see,22
positive,thank,21
positive,britain,21
positive,look,21
positive,know,21
positive,support,20
positive,would,19
positive,day,19
