topic_id,rank,score,doc_idx,preview,sentiment
0,1,0.9778577817246599,3236,"Hear the threats do you @Keir_Starmer We know who are the real problem in English society, an ideology that can do this in a heartbeat, so stop the Islamic Musl",negative
0,2,0.9729669351587348,3998,Emily Damari ‘shocked to my core’ over ‘disgusting’ decision to ban Maccabi Tel Aviv fans from Aston Villa match . @Keir_Starmer @10DowningStreet has lost contr,negative
0,3,0.9719196623640997,3379,"@Keir_Starmer @ShabanaMahmood We know who are the real problem in English society, an ideology that can do this in a heartbeat so stop the Islamic Mafia running",negative
1,1,0.9688744200551305,9188,UK hate crime levels are up. 45% of victims are muslims and 29% are Jewish . ( UK Home office figures) Hate towards two faith groups is glaring obvious yet one ,negative
1,2,0.9665121883644696,10471,@Keir_Starmer Building 🤣 there are construction company’s going bust left right and centre and now you want to get building . MJL went for £280 million just to ,negative
1,3,0.966383716743185,8768,"@shyisc @AnomiePhoenix @TRobinsonNewEra @Keir_Starmer @AmichaiChikli @OzraeliAvi You said it right, ‘the ideas’.. 

They tricked billions for ages with the idea",neutral
2,1,0.9754029267848853,4836,"I know nothing about football.

From what I have read on Twitter (notoriously unreliable) is NOT that Israeli football fans would be unsafe from British footbal",negative
2,2,0.9752915923064741,114,"If Italy isn't safe for Germans to go and watch the football, then what a failure of a place Napoli is.

@Keir_Starmer @Nigel_Farage @KemiBadenoch @EdwardJDavey",negative
2,3,0.9738849008475783,4114,"@novaramedia What is wrong with @Keir_Starmer ""The role of the police is to ensure all football fans can enjoy the game, without fear of violence or intimidatio",negative
3,1,0.9836085361011145,2243,@jame96727 @HelsinkiComm @POTUS @VP @SusieWiles @_HenryBolton @timkaine @SecRubio @SteveWitkoff @generalkellogg @LindseyGrahamSC @SenBlumenthal @RepMcCaul @SenA,neutral
3,2,0.9832937928468707,2213,@jame96727 @HelsinkiComm @POTUS @VP @SusieWiles @_HenryBolton @timkaine @SecRubio @SteveWitkoff @generalkellogg @LindseyGrahamSC @SenBlumenthal @RepMcCaul @SenA,neutral
3,3,0.9822060318974993,2231,@jame96727 @WarMonitor3 @Keir_Starmer @EmmanuelMacron @SecGenNATO @kajakallas @bundeskanzler @GermanyDiplo @JohnHealey_MP @DefenceHQ @BelgiumNATO @esa @EU_Commi,neutral
4,1,0.9849744688540728,5968,"@DaveLewis12 @LlyrPowell @Mike1222 Vote Liebor get the Fabian , WEF Globalists.

We’ve all seen the headlines: Keir Starmer accusing Nigel Farage and Reform of ",negative
4,2,0.9835231049984262,6497,"@LlyrPowell @Mike1222 We’ve all seen the headlines: Keir Starmer accusing Nigel Farage and Reform of racism, Labour MPs lining up to brand ordinary voters as fa",negative
4,3,0.9820872117860182,1108,"@LawrenceCaswell Keir Starmer's approval ratings have cratered to historic lows, with recent polls showing Labour at its weakest share ever and Reform UK surgin",negative
5,1,0.9709185267258353,3614,"This is all bullshit. 

Prince Andrew was born a Prince- same as every Prince from a noble family in Europe and beyond. In Italy, many prince's we have (includi",negative
5,2,0.9689286925367059,9794,Furious China threatens Britain with 'consequences' after Labour delays approval of new London 'super-embassy' - as PM gets fresh warning Beijing will use build,negative
5,3,0.9651714163907493,11107,"@Keir_Starmer @ShabanaMahmood You are both contributing to the rape, PDFilia &amp; murder of our citizens. An asylum seeker laughing after murdering an asylum s",negative
