Tweet ID,Author Username,Original User Sentiment,include_match_count,exclude_match_count,topic_relevance_score,include_terms_matched,exclude_terms_matched,Content
1.9763092360626424e+18,readersdigest,Positive,0,0,0,[],[],"Here's a prescription for doctor jokes, hospital humor, medical puns and more to cure your laughter deficiency. https://t.co/HifNH2kVO0"
1.976299136879346e+18,YunSean1234,Negative,0,1,-1,[],['stocks'],WOW!!!:) AS I'VE WARNED OF THE BIGGEST EVER NEVER EVER BUBBLES OF STOCKS BONDS CRYPTOS REAL ESTATE NOW THOSE ARE POPPING NOW!!:) INDEED T$$$$$$$$$$$$$$$$$$$$$$-BUBBLES ARE EXPLDOING NOW!!:) WOW!!!:) THIS IS CRAZY!!!:) NOTHING BUT INSANITY!!!:) IT'S THE BIGGEST EVER GOLD TIME!!!:) https://t.co/uCMFNZKlFc
1.9762961787790623e+18,YunSean1234,Negative,0,0,0,[],[],WOW!!!!:) AS I'VE SAID THAT NOW YEN IS GETTING BACK TO +160 LEVEL DRIVEN BY THE EXPLODING T¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥¥-SOVEREIGN DEBT ARMAGEDDON!!!:) WOW!!:) INDEED IT'S TOOOOOOOOOOOO LATE TO FIX THE DEBT ARMAGEDDON!!!:) AND MORE+MORE=THE MMT CRISIS!!:) WOW!!:) IT'S GOLD TIME!!!!:) https://t.co/x2OY7LHJoS
1.9762943525038367e+18,YunSean1234,Negative,0,0,0,[],[],RT @YunSean1234: WOW!!!! WE ARE SEEING IN ANYWAY MATHEMATICALLY YEN IS GOING BACK TO +160 RANGE AGAIN DRIVEN BY THE EXPLODING T¥¥¥¥¥¥¥¥¥¥¥¥…
1.976294327589753e+18,YunSean1234,Negative,0,0,0,[],[],RT @YunSean1234: +10000%% FACT IS THAT SOVEREIGN DEBT ARMAGEDDON HAS ARRIVED ALREADY!!!!!:) DO THE MATH!!!!:) JAPAN GOVERNMENT HAS NO CHOIC…
1.9762871946218048e+18,CVTSoftServe,Positive,0,0,0,[],[],We are off the streets today for private events. But don't worry you can still get your fix at https://t.co/d5tqvw1Gsh https://t.co/udF5NLiJwX
1.9762810256733348e+18,YunSean1234,Negative,0,0,0,[],[],DO THE MATH!!:) AS I'VE SAID THAT DRIVEN BY SOVEREIGN DEBT ARMAGEDDON NOW GOLD PRICE HAS NO OTHER OPTIONS BUT TO HIT +5K$ RANGE ANYWAY INDEED IT IS GOING ON+ON+ON MUCH MUCH MUCH FASTER THAN EVEN MY CONSERVATIVE MATH THAT HAS INDICATED IT BEFORE END OF 1ST Q OF 2026YR!!:) WOW!!!:) https://t.co/AQVnPvlLkE
1.9762778255788111e+18,humberwire,Negative,0,0,0,[],[],"Poor Lorex in GPlayReview:  {Gishan G- July 23, 2025- App keeps crashing, does not load more than 80% of the time. worked better on previous devices but not on S25. disappointing.}👎(In Sum=&gt;Vicious-Chinese-LorexCorporate)#2236766 https://t.co/u1ptl2Tuds"
1.9762776930010524e+18,humberwire,Negative,0,0,0,[],[],"Avoid Lorex Camera-GPlay: {Carina Bown- September 30, 2025- This app has always been unreliable, constantly not working in playback mode. Well now, I can't even get live footage to play. For ...ough to fix the issues.}👎(Conclusion=&gt;Sucks Lorex Chinese)#2556764 https://t.co/pLaoOHhP0q"
1.976269044509704e+18,YunSean1234,Negative,0,0,0,[],[],WOW!!!!:) INSANE STIMULUS PACKAGE AGAIN= MONEY PRINTINGS=THE MMT CRISIS!!!!:) WOW!!!!!:) THE NEW (-)IQ=NO ECONOMIC REALITY JAPAN PM HAS NO IDEA WHAT THE HELL IS GOING ON+ON AND ON IN JAPAN ECONOMY!!!!!:) SORRY FOR MY WORDS BUT INDEED JAPAN IS FINANCIALLY FUCKED UP!!!!:) WOW!!!!:) https://t.co/wnpaANGpOG
1.9762643888659128e+18,YunSean1234,Negative,0,0,0,[],[],INDEED IT'S THE BIGGEST EVER REAL ECONOMY TIME AGAINST WHAT HAS COME ALREADY+IS COMING+COMING+WILL BE COMING+COMING AND COMING!!!!!:) AGAIN+AGAIN= RISING GOLD+ENERGY(BENCHMARK OIL)PRICES HAVE NOT EVEN STARTED YET!!!!!:) THOSE HAVE NOT EVEN STARTED YET!!!!!:) WOW!!!!:) IT'S TIME!! https://t.co/VttriZJ2vX
1.9762639842075156e+18,readersdigest,Positive,0,0,0,[],[],"Even if you haven't picked up your car keys in a while, you should be aware of what happens when you don’t drive your car regularly. https://t.co/xU8ykCIms5"
