topic_id,rank,score,doc_idx,preview,sentiment
0,1,0.968693122167883,9913,@junizamel @greg16676935420 @mansourtarek_ Assuming an average price of $3 for a prepared hot dog in the US (based on street vendor and event prices around 2025,neutral
0,2,0.964947370230155,9434,@CholulaPatty @JonFraserTF Maybe they should fill those with homeless Canadians first instead of tossing them to the side. I see these newcomers driving new SUV,negative
0,3,0.963516002235805,13181,"Attention Costco members! Discover the Steve Madden Men's Sneakers in white: 5 pairs for just $45, 3 pairs for $35, or individual pairs for $15 each. Plus, enjo",positive
1,1,0.9726216504406164,1517,"@ReddCinema It's prolly tons more expensive now. TJ's is good food and reasonable prices, but w 6 kids, Costco or Sam's club for bulk. Aldi and Walmart are actu",neutral
1,2,0.9717718307418042,8980,"Weight-loss medications like Ozempic and Wegovy are now available to customers at several stores, including Costco and Sam's Club, even without insurance. https",neutral
1,3,0.9717718307418042,9157,"Weight-loss medications like Ozempic and Wegovy are now available to customers at several stores, including Costco and Sam's Club, even without insurance. https",neutral
2,1,0.9873010890182754,11048,"@elonmusk 😂, Still fine-tuning its parking lot ninja skills, 20 minutes to find a spot at Costco with FSD V14.1 is a bit like watching a robot chef overthink a ",neutral
2,2,0.9851535101425821,11419,"FSD V14.1 Spends 20 Minutes Looking For Parking Spot at Costco
This video is sped up 35x once we get hunting for a spot and during that time the car pulls of so",neutral
2,3,0.9817594560251729,10214,"@Luhwang_Konyak @elonmusk Tesla's Full Self-Driving (FSD) software is getting smarter. In this video, a Tesla car drives around a busy Costco parking lot for 20",neutral
3,1,0.9824881788438731,6586,"https://t.co/OVopDckwIE

🚨 Major retailers are pulling Xbox consoles from shelves. Costco has removed all Xbox listings and is clearing stock across the US, UK,",negative
3,2,0.9726258274313345,6615,"Target And Walmart Are Pulling Their Xbox Stock

Last month, one of the largest retailers in the world, Costco, confirmed that it would no longer be selling Xbo",neutral
3,3,0.9687225177226992,4181,@MrOGKush93 @Witchbrook What is cope? Do you not follow gaming news? This is not a console wars thing or being a Sony fanboy. It’s literally what is happening. ,negative
4,1,0.9707819747459719,751,"how does this gold => bitcoin rotation logistically happen? does the chinese normie who bought laopu go fsh their jewelry, travel to HK and buy btc on the stree",neutral
4,2,0.968717409459331,10507,"You may head to Costco to stock up on pantry staples and other supplies, but did you know they carry many items for DIY home improvement, including tools? Here ",positive
4,3,0.968717409459331,372,"You may head to Costco to stock up on pantry staples and other supplies, but did you know they carry many items for DIY home improvement, including tools? Here ",positive
5,1,0.9786376083482959,11829,"@GrandpaJoeSux I have a “food at home” solution that even my kids prefer.

Frozen patties
Frozen buns (ready to use at anytime)
Costco bagged fries ($6 for 3lbs",positive
5,2,0.9726025320615891,11826,@MattWallaceTech Toss both proteins. Costco has grass fed protein on their site. Jello packs are the devil.  Costco also sells organic A2 whole fat plain yogurt,negative
5,3,0.9717556580092371,9878,"American bought a box of soda at Costco for her kid

She cut the labels off and found every single one has been relabeled by the manufacturer and used to be “en",negative
6,1,0.9828362835113984,13750,"🚨GIVEAWAY Day 7 of 31🚨

Over $1500 value! 

Prizes:
-8x BBWF Bundles
-2x Blooming Waters🔥
-2x Pris Bundles
-2x Pris Sams Boxes
-2x Costco Pris Box

To Enter: 
F",neutral
6,2,0.9828362835113984,12563,"🚨GIVEAWAY Day 8 of 31🚨

Over $1500 value! 

Prizes:
-8x BBWF Bundles
-2x Blooming Waters🔥
-2x Pris Bundles
-2x Pris Sams Boxes
-2x Costco Pris Box

To Enter: 
F",neutral
6,3,0.9828362835113984,11377,"🚨GIVEAWAY Day 9 of 31🚨

Over $1500 value! 

Prizes:
-8x BBWF Bundles
-2x Blooming Waters🔥
-2x Pris Bundles
-2x Pris Sams Boxes
-2x Costco Pris Box

To Enter: 
F",neutral
7,1,0.9915706900397292,10744,"#Stocks - S&P500 Outlook
Stocks eased Thursday as shutdown-delayed data kept macro cues thin and attention pivoted to earnings. This morning S&P 500 futures are",neutral
7,2,0.9867196571718914,6389,"@Fynnderella1 Because a majority barely get by on good pay. They see deterioration in our economy, homelessness, and super rich.
Wages can be higher. A nationwi",negative
7,3,0.9863307479992891,6047,"@WallStreetMav This cannot be defeated. 1400 year success rate. Only defeating poverty can eliminate extreme religious fervor.

Here’s how:

A nationwide $25/ho",neutral
